lag,ACF,PACF,outside_fixed_95_percent_band_ACF,outside_fixed_95_percent_band_PACF
1,0.46163402566707756,0.46163402566707745,True,True
2,-0.025417984407777355,-0.3031208143348718,False,True
3,-0.16574384734976996,-0.014725034007673663,True,False
4,-0.11035251133309942,-0.016892464412870813,True,False
5,-0.08412370666085012,-0.08425170442165125,False,False
6,-0.040538969169137205,0.015907955823124657,False,False
7,-0.019316536606545844,-0.03810668330006299,False,False
8,-0.0468579274312347,-0.063208745147378,False,False
9,0.04455607379457229,0.1263908978653967,False,True
10,0.1321017190166997,0.04345865038917717,True,False
11,0.09245574705743762,-0.015304824119172795,True,False
12,0.04245102915567473,0.0616705234336261,False,False
13,0.051800217873175576,0.05264418503117317,False,False
14,0.06743333637672742,0.049572171608936955,False,False
15,0.03015280888989609,0.010047047028113461,False,False
16,0.0020050910431670677,0.016672277426922462,False,False
17,0.005140112019402933,0.04050626560603637,False,False
18,0.0161615801927408,0.029754574670648924,False,False
19,-0.005421851117672567,-0.031747021479664315,False,False
20,-0.038351757222980995,-0.027581461351216554,False,False
